District,Crop,Season,Year,Rainfall_mm,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Percent,Fertilizer_N_kg_ha,Fertilizer_P_kg_ha,Fertilizer_K_kg_ha,Seed_Quality,Farm_Size_ha,Mechanization,Yield_kg_ha
Mayurbhanj,Maize,Kharif,2022,960.4,38.4,23.8,70.6,5.49,0.488,160.7,26.3,158.2,40.3,107.2,56.2,38.4,Medium,1.21,Low,3004.0
Mayurbhanj,Paddy,Kharif,2021,1179.1,32.3,25.3,76.9,6.17,0.438,148.9,32.6,205.3,27.1,106.6,82.9,43.2,High,4.62,Medium,3281.0
Angul,Maize,Kharif,2023,998.2,27.3,25.5,73.7,5.12,0.418,134.8,26.1,170.4,67.1,110.7,37.4,51.0,High,0.93,Medium,4446.0
Jajpur,Paddy,Kharif,2023,1471.2,33.4,25.5,71.8,5.52,0.527,141.4,26.2,146.0,85.7,146.2,94.3,56.2,Low,2.45,Medium,3815.0
Sambalpur,Maize,Rabi,2021,248.1,27.4,16.5,62.1,6.78,0.512,214.0,14.5,119.5,13.1,115.4,50.0,34.9,High,2.04,Medium,2187.0
Kendrapara,Paddy,Kharif,2018,1194.5,30.7,23.8,87.9,5.06,0.601,259.0,40.7,82.1,22.6,115.9,81.0,39.5,Low,4.0,High,1755.0
Jajpur,Paddy,Kharif,2021,980.6,30.0,25.8,82.8,5.62,0.51,174.3,29.9,193.7,53.6,140.3,44.6,47.4,High,10.07,Medium,4760.0
Jajpur,Paddy,Kharif,2020,1300.3,33.6,24.6,80.0,6.48,0.448,189.3,27.3,125.0,60.7,90.8,71.8,51.6,Medium,4.73,Medium,3263.0
Cuttack,Paddy,Kharif,2023,1022.1,29.6,23.8,80.7,6.42,0.674,180.5,36.6,140.7,85.6,149.3,43.9,44.8,Low,7.69,Low,3443.0
Sambalpur,Paddy,Summer,2021,122.2,34.6,21.5,50.5,6.89,0.582,130.2,26.4,163.5,20.8,121.7,42.9,43.6,Medium,3.03,Medium,2165.0
Jagatsinghpur,Paddy,Kharif,2019,1303.0,43.6,25.1,87.1,6.96,0.648,167.4,31.1,123.0,34.6,104.0,70.3,23.9,High,0.1,Low,2177.0
Cuttack,Maize,Kharif,2021,1133.0,29.8,24.4,78.4,5.68,0.872,205.4,8.8,156.5,18.0,135.1,73.0,28.0,High,0.72,Medium,1590.0
Dhenkanal,Paddy,Kharif,2022,1275.5,37.0,21.3,92.7,5.62,0.358,170.5,40.0,149.3,24.3,82.6,83.1,53.2,High,1.17,Medium,3981.0
